phrase,word1,word2,word1_length,word2_length,avg_length,familiarity,avg_zipf,categories,tone_score,tag_A,tag_D,tag_S
garden path,garden,path,6,4,5.0,4,5.5,nature,10,0,0,0
garden hose,garden,hose,6,4,5.0,4,5.5,household,5,0,0,0
fire hose,fire,hose,4,4,4.0,4,5.5,object_neutral,5,0,0,0
hose reel,hose,reel,4,4,4.0,3,5.0,household,5,0,0,0
fishing reel,fishing,reel,7,4,5.5,4,5.5,object_neutral,5,0,0,0
fishing boat,fishing,boat,7,4,5.5,4,5.5,maritime,20,0,0,0
row boat,row,boat,3,4,3.5,4,5.5,maritime,20,0,0,0
boat dock,boat,dock,4,4,4.0,4,5.5,maritime,20,0,0,0
loading dock,loading,dock,7,4,5.5,4,5.5,commerce,15,0,0,0
dock worker,dock,worker,4,6,5.0,4,5.5,maritime;trade,20,0,0,0
farm worker,farm,worker,4,6,5.0,4,5.5,agriculture,10,0,0,0
farm house,farm,house,4,5,4.5,4,5.5,architecture,15,0,0,0
house plant,house,plant,5,5,5.0,4,5.5,household,5,0,0,0
plant pot,plant,pot,5,3,4.0,4,5.5,household,5,0,0,0
flower pot,flower,pot,6,3,4.5,4,5.5,household,5,0,1,0
flower bed,flower,bed,6,3,4.5,4,5.5,nature,10,0,0,0
bed sheet,bed,sheet,3,5,4.0,4,5.5,household,5,0,0,0
sheet music,sheet,music,5,5,5.0,4,5.5,music,15,0,0,0
music box,music,box,5,3,4.0,4,5.5,music,15,0,0,0
toy box,toy,box,3,3,3.0,5,6.5,household,5,0,0,0
sand box,sand,box,4,3,3.5,4,5.5,object_neutral,5,0,0,0
sand castle,sand,castle,4,6,5.0,4,5.5,object_neutral,5,0,0,0
sand dune,sand,dune,4,4,4.0,4,5.5,nature,10,0,0,0
beach ball,beach,ball,5,4,4.5,5,6.5,object_neutral,5,0,0,0
ball game,ball,game,4,4,4.0,5,6.5,object_neutral,5,0,0,0
game day,game,day,4,3,3.5,5,6.5,object_neutral,5,0,0,0
market day,market,day,6,3,4.5,4,5.5,commerce,15,0,0,0
day camp,day,camp,3,4,3.5,4,5.5,object_neutral,5,0,0,0
summer camp,summer,camp,6,4,5.0,4,5.5,object_neutral,5,0,0,0
camp fire,camp,fire,4,4,4.0,4,5.5,nature,10,0,0,0
fire pit,fire,pit,4,3,3.5,4,5.5,household,5,0,0,0
peach pit,peach,pit,5,3,4.0,4,5.5,food,5,0,0,0
pit stop,pit,stop,3,4,3.5,4,5.5,transport,10,0,0,0
full stop,full,stop,4,4,4.0,4,5.5,object_neutral,5,0,1,0
truck stop,truck,stop,5,4,4.5,4,5.5,transport,10,0,0,0
food truck,food,truck,4,5,4.5,4,5.5,food;transport,10,0,0,0
dump truck,dump,truck,4,5,4.5,4,5.5,transport,10,0,0,0
truck bed,truck,bed,5,3,4.0,4,5.5,transport,10,0,0,0
water bed,water,bed,5,3,4.0,4,5.5,household,5,0,0,0
water tank,water,tank,5,4,4.5,4,5.5,object_neutral,5,0,0,0
fish tank,fish,tank,4,4,4.0,4,5.5,household,5,0,0,0
tank top,tank,top,4,3,3.5,4,5.5,clothing,10,0,0,0
table top,table,top,5,3,4.0,4,5.5,household,5,0,0,0
top hat,top,hat,3,3,3.0,4,5.5,clothing,10,0,0,0
sun hat,sun,hat,3,3,3.0,4,5.5,clothing,10,0,0,0
hard hat,hard,hat,4,3,3.5,4,5.5,clothing,10,0,0,0
hat rack,hat,rack,3,4,3.5,4,5.5,household,5,0,0,0
dish rack,dish,rack,4,4,4.0,4,5.5,household,5,0,0,0
wine rack,wine,rack,4,4,4.0,4,5.5,household,5,0,0,0
book shelf,book,shelf,4,5,4.5,4,5.5,household,5,0,0,0
book store,book,store,4,5,4.5,4,5.5,commerce,15,0,0,0
store front,store,front,5,5,5.0,4,5.5,commerce,15,0,0,0
lake front,lake,front,4,5,4.5,4,5.5,nature,10,0,0,0
front yard,front,yard,5,4,4.5,4,5.5,household,5,0,0,0
yard sale,yard,sale,4,4,4.0,4,5.5,commerce,15,0,0,0
tag sale,tag,sale,3,4,3.5,4,5.5,commerce,15,0,0,0
price tag,price,tag,5,3,4.0,5,6.5,commerce,15,0,0,0
name tag,name,tag,4,3,3.5,5,6.5,object_neutral,5,0,0,0
dog tag,dog,tag,3,3,3.0,5,6.5,object_neutral,5,0,0,0
dog park,dog,park,3,4,3.5,5,6.5,nature,10,0,0,0
park bench,park,bench,4,5,4.5,4,5.5,object_neutral,5,0,0,0
work bench,work,bench,4,5,4.5,4,5.5,craft,15,0,0,0
bench press,bench,press,5,5,5.0,4,5.5,object_neutral,5,0,0,0
drill press,drill,press,5,5,5.0,3,5.0,craft,15,0,0,0
press box,press,box,5,3,4.0,4,5.5,object_neutral,5,0,0,0
mail box,mail,box,4,3,3.5,5,6.5,household,5,0,0,0
mail room,mail,room,4,4,4.0,4,5.5,object_neutral,5,0,0,0
living room,living,room,6,4,5.0,5,6.5,household,5,0,0,0
room key,room,key,4,3,3.5,5,6.5,household,5,0,0,0
car key,car,key,3,3,3.0,5,6.5,object_neutral,5,0,0,0
house key,house,key,5,3,4.0,5,6.5,household,5,0,0,0
key chain,key,chain,3,5,4.0,5,6.5,object_neutral,5,0,0,0
chain link,chain,link,5,4,4.5,4,5.5,object_neutral,5,0,0,0
link fence,link,fence,4,5,4.5,4,5.5,household,5,0,0,0
fence post,fence,post,5,4,4.5,4,5.5,household,5,0,0,0
lamp post,lamp,post,4,4,4.0,4,5.5,object_neutral,5,0,0,0
post office,post,office,4,6,5.0,5,6.5,civic,25,0,0,0
box office,box,office,3,6,4.5,4,5.5,commerce,15,0,0,0
office chair,office,chair,6,5,5.5,4,5.5,household,5,0,0,0
high chair,high,chair,4,5,4.5,4,5.5,household,5,0,0,0
chair lift,chair,lift,5,4,4.5,4,5.5,transport,10,0,0,0
ski lift,ski,lift,3,4,3.5,4,5.5,transport,10,0,0,0
fork lift,fork,lift,4,4,4.0,4,5.5,transport,10,0,0,0
salad fork,salad,fork,5,4,4.5,4,5.5,household,5,0,0,0
dinner fork,dinner,fork,6,4,5.0,4,5.5,household,5,0,0,0
dinner plate,dinner,plate,6,5,5.5,4,5.5,household,5,0,0,0
home plate,home,plate,4,5,4.5,4,5.5,object_neutral,5,0,0,0
plate glass,plate,glass,5,5,5.0,3,5.0,object_neutral,5,0,1,0
glass jar,glass,jar,5,3,4.0,4,5.5,household,5,0,1,0
cookie jar,cookie,jar,6,3,4.5,4,5.5,household,5,0,0,0
jam jar,jam,jar,3,3,3.0,4,5.5,household,5,0,0,0
paper jam,paper,jam,5,3,4.0,4,5.5,object_neutral,5,0,0,0
traffic jam,traffic,jam,7,3,5.0,4,5.5,transport,10,0,0,0
traffic light,traffic,light,7,5,6.0,4,5.5,transport,10,0,0,0
light bulb,light,bulb,5,4,4.5,4,5.5,household,5,0,0,0
tulip bulb,tulip,bulb,5,4,4.5,3,5.0,nature,10,0,0,0
flower shop,flower,shop,6,4,5.0,4,5.5,commerce,15,0,0,0
gift shop,gift,shop,4,4,4.0,4,5.5,commerce,15,0,0,0
shop floor,shop,floor,4,5,4.5,4,5.5,commerce,15,0,0,0
dance floor,dance,floor,5,5,5.0,4,5.5,object_neutral,5,0,0,0
floor plan,floor,plan,5,4,4.5,4,5.5,architecture,15,0,0,1
game plan,game,plan,4,4,4.0,4,5.5,object_neutral,5,0,0,1
flight plan,flight,plan,6,4,5.0,4,5.5,transport,10,0,0,1
flight deck,flight,deck,6,4,5.0,4,5.5,transport,10,0,0,0
pool deck,pool,deck,4,4,4.0,4,5.5,household,5,0,0,0
deck chair,deck,chair,4,5,4.5,4,5.5,household,5,0,0,0
lawn chair,lawn,chair,4,5,4.5,4,5.5,household,5,0,0,0
lawn mower,lawn,mower,4,5,4.5,4,5.5,household,5,0,0,0
push mower,push,mower,4,5,4.5,4,5.5,household,5,0,0,0
push cart,push,cart,4,4,4.0,4,5.5,object_neutral,5,0,0,0
golf cart,golf,cart,4,4,4.0,4,5.5,transport,10,0,0,0
cart wheel,cart,wheel,4,5,4.5,4,5.5,object_neutral,5,0,0,0
spare wheel,spare,wheel,5,5,5.0,4,5.5,transport,10,0,0,0
wheel chair,wheel,chair,5,5,5.0,4,5.5,object_neutral,5,0,0,0
rocking chair,rocking,chair,7,5,6.0,4,5.5,household,5,0,0,0
rocking horse,rocking,horse,7,5,6.0,4,5.5,object_neutral,5,0,0,0
horse barn,horse,barn,5,4,4.5,4,5.5,agriculture,10,0,0,0
dairy barn,dairy,barn,5,4,4.5,3,5.0,agriculture,10,0,0,0
barn door,barn,door,4,4,4.0,4,5.5,architecture,15,0,0,0
storm door,storm,door,5,4,4.5,4,5.5,household,5,0,0,0
storm cloud,storm,cloud,5,5,5.0,4,5.5,nature,10,0,0,0
rain cloud,rain,cloud,4,5,4.5,4,5.5,nature,10,0,0,0
cloud cover,cloud,cover,5,5,5.0,4,5.5,nature,10,1,0,0
book cover,book,cover,4,5,4.5,4,5.5,object_neutral,5,1,0,0
ground cover,ground,cover,6,5,5.5,3,5.0,nature,10,1,0,1
ground floor,ground,floor,6,5,5.5,4,5.5,architecture,15,0,0,1
ground beef,ground,beef,6,4,5.0,4,5.5,food,5,0,0,1
roast beef,roast,beef,5,4,4.5,4,5.5,food,5,0,0,0
pot roast,pot,roast,3,5,4.0,4,5.5,food,5,0,0,0
crock pot,crock,pot,5,3,4.0,4,5.5,household,5,0,0,0
coffee pot,coffee,pot,6,3,4.5,5,6.5,household,5,0,0,0
coffee cup,coffee,cup,6,3,4.5,5,6.5,household,5,0,1,0
paper cup,paper,cup,5,3,4.0,5,6.5,household,5,0,1,0
cup holder,cup,holder,3,6,4.5,4,5.5,object_neutral,5,0,0,0
candle holder,candle,holder,6,6,6.0,4,5.5,household,5,0,0,0
place holder,place,holder,5,6,5.5,4,5.5,object_neutral,5,0,0,0
card holder,card,holder,4,6,5.0,4,5.5,object_neutral,5,0,0,0
ticket holder,ticket,holder,6,6,6.0,4,5.5,object_neutral,5,0,0,0
ticket booth,ticket,booth,6,5,5.5,4,5.5,commerce,15,0,0,0
phone booth,phone,booth,5,5,5.0,4,5.5,communication,20,0,0,0
voting booth,voting,booth,6,5,5.5,3,5.0,civic,25,0,0,0
photo booth,photo,booth,5,5,5.0,4,5.5,object_neutral,5,0,0,0
photo album,photo,album,5,5,5.0,4,5.5,object_neutral,5,0,0,0
stamp album,stamp,album,5,5,5.0,3,5.0,object_neutral,5,0,0,0
postage stamp,postage,stamp,7,5,6.0,3,5.0,communication,20,0,0,0
rubber stamp,rubber,stamp,6,5,5.5,4,5.5,object_neutral,5,0,0,0
stamp pad,stamp,pad,5,3,4.0,4,5.5,object_neutral,5,0,0,0
note pad,note,pad,4,3,3.5,4,5.5,object_neutral,5,0,0,0
mouse pad,mouse,pad,5,3,4.0,4,5.5,object_neutral,5,0,0,0
lily pad,lily,pad,4,3,3.5,4,5.5,nature,10,0,0,0
heating pad,heating,pad,7,3,5.0,4,5.5,household,5,0,0,0
launch pad,launch,pad,6,3,4.5,4,5.5,object_neutral,5,0,0,0
knee pad,knee,pad,4,3,3.5,4,5.5,object_neutral,5,0,0,0
sketch pad,sketch,pad,6,3,4.5,4,5.5,craft,15,0,0,0
writing pad,writing,pad,7,3,5.0,4,5.5,object_neutral,5,0,0,0
legal pad,legal,pad,5,3,4.0,4,5.5,law,15,0,0,0
brake pad,brake,pad,5,3,4.0,4,5.5,transport,10,0,0,0
dinner bell,dinner,bell,6,4,5.0,4,5.5,household,5,0,0,0
bell tower,bell,tower,4,5,4.5,4,5.5,architecture,15,0,0,0
clock tower,clock,tower,5,5,5.0,4,5.5,architecture,15,0,0,0
water tower,water,tower,5,5,5.0,4,5.5,architecture,15,0,0,0
tower crane,tower,crane,5,5,5.0,3,5.0,object_neutral,5,0,0,0
paper crane,paper,crane,5,5,5.0,4,5.5,craft,15,0,0,0
crane lift,crane,lift,5,4,4.5,3,5.0,object_neutral,5,0,0,0
heavy lift,heavy,lift,5,4,4.5,4,5.5,object_neutral,5,0,1,0
face lift,face,lift,4,4,4.0,4,5.5,object_neutral,5,0,0,0
ski lodge,ski,lodge,3,5,4.0,4,5.5,architecture,15,0,0,0
hunting lodge,hunting,lodge,7,5,6.0,4,5.5,architecture,15,0,0,0
lodge pole,lodge,pole,5,4,4.5,3,5.0,object_neutral,5,0,0,0
flag pole,flag,pole,4,4,4.0,4,5.5,object_neutral,5,0,0,0
tent pole,tent,pole,4,4,4.0,4,5.5,object_neutral,5,0,0,0
pole barn,pole,barn,4,4,4.0,3,5.0,architecture,15,0,0,0
tent stake,tent,stake,4,5,4.5,4,5.5,object_neutral,5,0,0,0
tent flap,tent,flap,4,4,4.0,4,5.5,object_neutral,5,0,0,0
cat flap,cat,flap,3,4,3.5,4,5.5,household,5,0,0,0
mud flap,mud,flap,3,4,3.5,4,5.5,transport,10,0,0,0
pocket flap,pocket,flap,6,4,5.0,4,5.5,clothing,10,0,0,0
shirt pocket,shirt,pocket,5,6,5.5,4,5.5,clothing,10,0,0,0
front pocket,front,pocket,5,6,5.5,4,5.5,clothing,10,0,0,0
back pocket,back,pocket,4,6,5.0,4,5.5,clothing,10,0,0,0
pocket watch,pocket,watch,6,5,5.5,4,5.5,object_neutral,5,0,0,1
wrist watch,wrist,watch,5,5,5.0,4,5.5,object_neutral,5,0,0,1
watch band,watch,band,5,4,4.5,4,5.5,object_neutral,5,0,0,1
wedding band,wedding,band,7,4,5.5,4,5.5,object_neutral,5,0,0,1
rock band,rock,band,4,4,4.0,5,6.5,music,15,0,0,1
band wagon,band,wagon,4,5,4.5,4,5.5,object_neutral,5,0,0,1
station wagon,station,wagon,7,5,6.0,4,5.5,transport,10,0,0,0
train station,train,station,5,7,6.0,5,6.5,transport,10,0,0,0
gas station,gas,station,3,7,5.0,5,6.5,commerce,15,0,0,0
radio station,radio,station,5,7,6.0,4,5.5,communication,20,0,0,0
space station,space,station,5,7,6.0,4,5.5,object_neutral,5,0,0,0
space ship,space,ship,5,4,4.5,4,5.5,transport,10,0,0,0
cruise ship,cruise,ship,6,4,5.0,4,5.5,maritime,20,0,0,0
ship deck,ship,deck,4,4,4.0,4,5.5,maritime,20,0,0,0
sun deck,sun,deck,3,4,3.5,4,5.5,maritime,20,0,0,0
deck hand,deck,hand,4,4,4.0,4,5.5,maritime,20,0,0,0
farm hand,farm,hand,4,4,4.0,4,5.5,agriculture,10,0,0,0
hand rail,hand,rail,4,4,4.0,4,5.5,household,5,0,0,0
guard rail,guard,rail,5,4,4.5,4,5.5,object_neutral,5,0,0,0
rail car,rail,car,4,3,3.5,4,5.5,transport,10,0,0,0
cable car,cable,car,5,3,4.0,4,5.5,transport,10,0,0,0
cable box,cable,box,5,3,4.0,4,5.5,household,5,0,0,0
shoe box,shoe,box,4,3,3.5,4,5.5,household,5,0,0,0
shoe store,shoe,store,4,5,4.5,4,5.5,commerce,15,0,0,0
shoe rack,shoe,rack,4,4,4.0,4,5.5,household,5,0,0,0
bike shop,bike,shop,4,4,4.0,4,5.5,commerce,15,0,0,0
body shop,body,shop,4,4,4.0,4,5.5,commerce,15,0,0,0
print shop,print,shop,5,4,4.5,4,5.5,commerce,15,0,0,0
barber shop,barber,shop,6,4,5.0,4,5.5,commerce,15,0,0,0
shop window,shop,window,4,6,5.0,4,5.5,commerce,15,0,0,0
bay window,bay,window,3,6,4.5,4,5.5,architecture,15,0,0,0
window box,window,box,6,3,4.5,4,5.5,household,5,0,0,0
window pane,window,pane,6,4,5.0,4,5.5,household,5,0,0,0
glass pane,glass,pane,5,4,4.5,4,5.5,household,5,0,1,0
stained glass,stained,glass,7,5,6.0,4,5.5,craft,15,0,0,0
glass door,glass,door,5,4,4.5,4,5.5,household,5,0,1,0
sliding door,sliding,door,7,4,5.5,4,5.5,household,5,0,0,0
screen door,screen,door,6,4,5.0,4,5.5,household,5,0,0,0
screen print,screen,print,6,5,5.5,3,5.0,craft,15,0,0,0
fine print,fine,print,4,5,4.5,4,5.5,object_neutral,5,0,0,0
print run,print,run,5,3,4.0,3,5.0,commerce,15,0,0,0
trial run,trial,run,5,3,4.0,4,5.5,object_neutral,5,0,0,0
home run,home,run,4,3,3.5,5,6.5,object_neutral,5,0,0,0
run time,run,time,3,4,3.5,4,5.5,object_neutral,5,0,0,0
drive time,drive,time,5,4,4.5,4,5.5,transport,10,0,0,0
test drive,test,drive,4,5,4.5,4,5.5,commerce,15,0,0,0
hard drive,hard,drive,4,5,4.5,4,5.5,object_neutral,5,0,0,0
drive shaft,drive,shaft,5,5,5.0,3,5.0,transport,10,0,0,0
mine shaft,mine,shaft,4,5,4.5,3,5.0,object_neutral,5,0,0,0
elevator shaft,elevator,shaft,8,5,6.5,3,5.0,architecture,15,0,0,0
grain elevator,grain,elevator,5,8,6.5,3,5.0,agriculture,10,0,0,0
grain mill,grain,mill,5,4,4.5,3,5.0,agriculture,10,0,0,0
wind mill,wind,mill,4,4,4.0,4,5.5,architecture,15,0,0,0
mill stone,mill,stone,4,5,4.5,3,5.0,agriculture,10,0,0,0
stepping stone,stepping,stone,8,5,6.5,4,5.5,nature,10,0,0,0
stone wall,stone,wall,5,4,4.5,4,5.5,architecture,15,0,0,0
brick wall,brick,wall,5,4,4.5,4,5.5,architecture,15,0,0,0
sea wall,sea,wall,3,4,3.5,4,5.5,architecture,15,0,0,0
wall clock,wall,clock,4,5,4.5,4,5.5,household,5,0,0,0
alarm clock,alarm,clock,5,5,5.0,4,5.5,household,5,0,0,0
clock face,clock,face,5,4,4.5,4,5.5,object_neutral,5,0,0,0
clock hand,clock,hand,5,4,4.5,4,5.5,object_neutral,5,0,0,0
minute hand,minute,hand,6,4,5.0,4,5.5,object_neutral,5,0,0,0
second hand,second,hand,6,4,5.0,4,5.5,object_neutral,5,1,0,0
helping hand,helping,hand,7,4,5.5,4,5.5,object_neutral,5,0,0,0
poker hand,poker,hand,5,4,4.5,4,5.5,object_neutral,5,0,0,0
hand towel,hand,towel,4,5,4.5,4,5.5,household,5,0,0,0
paper towel,paper,towel,5,5,5.0,5,6.5,household,5,0,0,0
beach towel,beach,towel,5,5,5.0,4,5.5,household,5,0,0,0
towel rack,towel,rack,5,4,4.5,4,5.5,household,5,0,0,0
towel bar,towel,bar,5,3,4.0,4,5.5,household,5,0,0,0
snack bar,snack,bar,5,3,4.0,4,5.5,food,5,0,0,0
candy bar,candy,bar,5,3,4.0,5,6.5,food,5,0,0,0
salad bar,salad,bar,5,3,4.0,4,5.5,food,5,0,0,0
bar stool,bar,stool,3,5,4.0,4,5.5,household,5,0,0,0
piano stool,piano,stool,5,5,5.0,4,5.5,music,15,0,0,0
piano bench,piano,bench,5,5,5.0,4,5.5,music,15,0,0,0
piano key,piano,key,5,3,4.0,4,5.5,music,15,0,0,0
brass key,brass,key,5,3,4.0,4,5.5,object_neutral,5,0,0,0
skeleton key,skeleton,key,8,3,5.5,4,5.5,object_neutral,5,0,0,0
master key,master,key,6,3,4.5,4,5.5,object_neutral,5,0,0,0
pass key,pass,key,4,3,3.5,4,5.5,object_neutral,5,0,0,0
key ring,key,ring,3,4,3.5,4,5.5,object_neutral,5,0,0,0
boxing ring,boxing,ring,6,4,5.0,4,5.5,object_neutral,5,0,0,0
tree ring,tree,ring,4,4,4.0,4,5.5,nature,10,0,0,0
ring tone,ring,tone,4,4,4.0,4,5.5,communication,20,0,0,0
dial tone,dial,tone,4,4,4.0,4,5.5,communication,20,0,0,0
skin tone,skin,tone,4,4,4.0,4,5.5,object_neutral,5,0,0,0
earth tone,earth,tone,5,4,4.5,4,5.5,object_neutral,5,0,0,0
half tone,half,tone,4,4,4.0,3,5.0,music,15,1,0,0
tone arm,tone,arm,4,3,3.5,3,5.0,object_neutral,5,0,0,0
chair arm,chair,arm,5,3,4.0,4,5.5,household,5,0,0,0
arm rest,arm,rest,3,4,3.5,4,5.5,object_neutral,5,0,0,0
foot rest,foot,rest,4,4,4.0,4,5.5,object_neutral,5,0,0,0
bed rest,bed,rest,3,4,3.5,4,5.5,household,5,0,0,0
nest egg,nest,egg,4,3,3.5,4,5.5,object_neutral,5,0,0,0
egg roll,egg,roll,3,4,3.5,4,5.5,food,5,0,0,0
drum roll,drum,roll,4,4,4.0,4,5.5,music,15,0,0,0
rock roll,rock,roll,4,4,4.0,5,6.5,music,15,0,0,0
roll call,roll,call,4,4,4.0,4,5.5,object_neutral,5,0,0,0
phone call,phone,call,5,4,4.5,5,6.5,communication,20,0,0,0
wake call,wake,call,4,4,4.0,4,5.5,object_neutral,5,0,0,0
port call,port,call,4,4,4.0,3,5.0,maritime,20,0,0,0
port hole,port,hole,4,4,4.0,3,5.0,maritime,20,0,0,0
button hole,button,hole,6,4,5.0,4,5.5,clothing,10,0,0,0
shirt button,shirt,button,5,6,5.5,4,5.5,clothing,10,0,0,0
belly button,belly,button,5,6,5.5,4,5.5,object_neutral,5,0,0,0
pause button,pause,button,5,6,5.5,4,5.5,object_neutral,5,0,0,0
power button,power,button,5,6,5.5,4,5.5,object_neutral,5,0,0,0
power line,power,line,5,4,4.5,4,5.5,object_neutral,5,0,0,0
phone line,phone,line,5,4,4.5,4,5.5,communication,20,0,0,0
finish line,finish,line,6,4,5.0,4,5.5,object_neutral,5,0,0,0
goal line,goal,line,4,4,4.0,4,5.5,object_neutral,5,0,0,0
tree line,tree,line,4,4,4.0,4,5.5,nature,10,0,0,0
cruise line,cruise,line,6,4,5.0,4,5.5,maritime,20,0,0,0
line dance,line,dance,4,5,4.5,4,5.5,music,15,0,0,0
tap dance,tap,dance,3,5,4.0,4,5.5,music,15,0,0,0
square dance,square,dance,6,5,5.5,4,5.5,music,15,0,0,0
barn dance,barn,dance,4,5,4.5,4,5.5,music;festival,20,0,0,0
dance hall,dance,hall,5,4,4.5,4,5.5,music,15,0,0,0
town hall,town,hall,4,4,4.0,4,5.5,civic,25,0,0,0
city hall,city,hall,4,4,4.0,5,6.5,civic,25,0,0,0
foot path,foot,path,4,4,4.0,4,5.5,transport,10,0,0,0
tow path,tow,path,3,4,3.5,3,5.0,transport,10,0,0,0
hiking path,hiking,path,6,4,5.0,4,5.5,nature,10,0,0,0
hiking boot,hiking,boot,6,4,5.0,4,5.5,clothing,10,0,0,0
cowboy boot,cowboy,boot,6,4,5.0,4,5.5,clothing,10,0,0,0
boot camp,boot,camp,4,4,4.0,4,5.5,object_neutral,5,0,0,0
day pack,day,pack,3,4,3.5,4,5.5,object_neutral,5,0,0,0
pack mule,pack,mule,4,4,4.0,4,5.5,animal,10,0,0,0
ice pack,ice,pack,3,4,3.5,5,6.5,object_neutral,5,0,0,0
cold pack,cold,pack,4,4,4.0,4,5.5,object_neutral,5,0,0,0
fanny pack,fanny,pack,5,4,4.5,4,5.5,clothing,10,0,0,0
six pack,six,pack,3,4,3.5,4,5.5,object_neutral,5,0,0,0
pack horse,pack,horse,4,5,4.5,4,5.5,animal,10,0,0,0
horse shoe,horse,shoe,5,4,4.5,4,5.5,object_neutral,5,0,0,0
brake shoe,brake,shoe,5,4,4.5,3,5.0,transport,10,0,0,0
wooden shoe,wooden,shoe,6,4,5.0,4,5.5,clothing,10,0,0,0
shoe lace,shoe,lace,4,4,4.0,4,5.5,clothing,10,0,0,0
boot lace,boot,lace,4,4,4.0,4,5.5,clothing,10,0,0,0
lace trim,lace,trim,4,4,4.0,4,5.5,clothing,10,0,0,0
